Musica;Artista_Principal;Todos_Artistas;Periodo;Periodo_Ordem;Ranking;Album;Popularidade_Musica;Generos_Musica;Data_Extracao;Preview_URL;Spotify_ID
KAZINO;BIBI;BIBI;6_meses;2;27;KAZINO;0;N/A;2026-03-25 18:49:30;;245onUPHGD1DYuiacxTuW0
Make Me Wanna Die;The Pretty Reckless;The Pretty Reckless;6_meses;2;28;Light Me Up;0;garage rock, female vocalist, indie, soundtrack;2026-03-25 18:49:30;;0KGIbrNYktDXYyHopcDI2L
Circus Circus Free$tyle;Baby Keem;Baby Keem;6_meses;2;29;Ca$ino;0;N/A;2026-03-25 18:49:30;;5waTXjl4V7YBw1Bo4CsjlM
The Largest;BigXthaPlug;BigXthaPlug;6_meses;2;30;TAKE CARE;0;N/A;2026-03-25 18:49:30;;3neOwym9kfYsM1QWaR77C1
Highway 95 pt.2;Baby Keem;Baby Keem;6_meses;2;31;Ca$ino;0;N/A;2026-03-25 18:49:30;;5OUtx1HW0cLbt1bCuSHlw8
The Weekend;88rising;88rising, BIBI;6_meses;2;32;The Weekend;0;N/A;2026-03-25 18:49:30;;0v2Qgk39gLXMIJi6BY34Fz
Nosetalgia;Pusha T;Pusha T, Kendrick Lamar;6_meses;2;33;My Name Is My Name;0;N/A;2026-03-25 18:49:30;;7aK5rlTVxSgcqShPMI1TTH
Whiplash;aespa;aespa;6_meses;2;34;Whiplash - The 5th Mini Album;0;k-pop, electropop, edu e marco, house;2026-03-25 18:49:30;;7Cnpb1vBbC46RgVyyKLH7p
Super Shy;NewJeans;NewJeans;6_meses;2;35;NewJeans 'Super Shy';0;drum and bass, jersey club, k-pop, 2023, you don't even know my name do ya;2026-03-25 18:49:30;;5sdQOyqq2IDhvmx2lHOpwd
TT;TWICE;TWICE;6_meses;2;36;TWICEcoaster : LANE2;0;k-pop, electropop;2026-03-25 18:49:30;;7b6WvfgtlRNR8PmHfNhWl5
Raindance (feat. Tems);Dave;Dave, Tems;6_meses;2;37;The Boy Who Played the Harp;0;afrobeats, neo-soul, hip-hop, uk hip-hop, alternative rnb;2026-03-25 18:49:30;;3oTuTpF1F3A7rEC6RKsMRz
start a war;JENNIE;JENNIE;6_meses;2;38;Ruby;0;indie, peter;2026-03-25 18:49:30;;6SaSFVlIQC1L6Fh1QKLeFi
NUEVAYoL;Bad Bunny;Bad Bunny;6_meses;2;39;DeBÍ TiRAR MáS FOToS;0;dembow, reggaeton;2026-03-25 18:49:30;;5TFD2bmFKGhoCRbX61nXY5
I am not a Lyricist;Baby Keem;Baby Keem;6_meses;2;40;Ca$ino;0;west coast rap, california rap, in english, usa, rap;2026-03-25 18:49:30;;76uwSqRmmSfRZVocIceH1b
Born Again (feat. Doja Cat & RAYE);LISA;LISA, Doja Cat, RAYE;6_meses;2;41;Alter Ego;0;doja cat, pop, disco, nu-disco, raye;2026-03-25 18:49:30;;7KNmIjcmGJIBrhP2s5Vioe
SLOW DANCING IN THE DARK;Joji;Joji;6_meses;2;42;BALLADS 1;0;alternative rnb, joji, joji eu te amo, indie;2026-03-25 18:49:30;;6rY5FAWxCdAGllYEOZMbjW
New Jeans;NewJeans;NewJeans;6_meses;2;43;NewJeans 'Super Shy';0;uk garage, jersey club, k-pop, korean, 2023;2026-03-25 18:49:30;;6rdkCkjk6D12xRpdMXy0I2
Perfect Night;LE SSERAFIM;LE SSERAFIM;6_meses;2;44;Perfect Night;0;k-pop, english, 2023;2026-03-25 18:49:30;;74X2u8JMVooG2QbjRxXwR8
Filter;JENNIE;JENNIE;6_meses;2;45;Ruby;0;english, pop, dem jointz;2026-03-25 18:49:30;;104KjF0t9EnlFOoxGLxiSQ
$ex Appeal (feat. Too $hort);Baby Keem;Baby Keem, Too $hort;6_meses;2;46;Ca$ino;0;N/A;2026-03-25 18:49:30;;2N1D5t5zkvlNElbH9q0vBv
No Security;Baby Keem;Baby Keem;6_meses;2;47;Ca$ino;0;conscious hip-hop, drumless;2026-03-25 18:49:30;;4LGFc5Vv5YlqTvWIa37CbG
4 Raws;EsDeeKid;EsDeeKid;6_meses;2;48;Rebel;0;uk hip hop, gangsta rap, hardcore hip hop, trap, cloud rap;2026-03-25 18:49:30;;554qQSs9lpRVq6TlaaiIKT
Click Clack Symphony. (feat. Hans Zimmer);RAYE;RAYE, Hans Zimmer;6_meses;2;49;Click Clack Symphony. (feat. Hans Zimmer);0;N/A;2026-03-25 18:49:30;;5PspYmmQ8nKESNTcBY2LlX
Black Mamba;aespa;aespa;6_meses;2;50;Girls - The 2nd Mini Album;0;k-pop, electropop, debut;2026-03-25 18:49:30;;6Tj9KfzPp7tmgcDdsaPwGE
WILDFLOWER;Billie Eilish;Billie Eilish;12_meses;3;1;HIT ME HARD AND SOFT;0;dream pop, peter, pop, edu e marco;2026-03-25 18:49:30;;3QaPy1KgI7nu9FJEQUgn6h
NÃO ERA LOVE;Luan Pereira;Luan Pereira, MC Tuto, Grelo;12_meses;3;2;NÃO ERA LOVE;0;N/A;2026-03-25 18:49:30;;6lrQgEPTuOKyvn4bQJuaRU
Sentada Surreal;Felipe Beats;Felipe Beats, DJ Nathi, Zé Felipe;12_meses;3;3;Sentada Surreal;0;N/A;2026-03-25 18:49:30;;52OJYPsHHsmNkRRr1OTkeA
Bigode;Bella Angel;Bella Angel, Melody, Dj Thalia, GP DA ZL, Jhow;12_meses;3;4;Bigode;0;N/A;2026-03-25 18:49:30;;38RpsPwe9sEDzldwBWsMUg
There Goes My Baby;d4vd;d4vd;12_meses;3;5;There Goes My Baby;0;N/A;2026-03-25 18:49:30;;0nn1kMhCkhQqqZdnKL7Ext
DtMF;Bad Bunny;Bad Bunny;12_meses;3;6;DeBÍ TiRAR MáS FOToS;0;reggaeton, melodic, vocal, latin;2026-03-25 18:49:30;;3sK8wGT43QFpWrvNQsrQya
Por Esos Ojos;Fuerza Regida;Fuerza Regida;12_meses;3;7;Por Esos Ojos;0;N/A;2026-03-25 18:49:30;;5jHozZMWbrExAFni95mvvH
Make Me Wanna Die;The Pretty Reckless;The Pretty Reckless;12_meses;3;8;Light Me Up;0;garage rock, female vocalist, indie, soundtrack;2026-03-25 18:49:30;;0KGIbrNYktDXYyHopcDI2L
I Was Made For Lovin’ You - from The Fall Guy;YUNGBLUD;YUNGBLUD;12_meses;3;9;I Was Made For Lovin' You (from The Fall Guy);0;N/A;2026-03-25 18:49:30;;55ikcenXPbQdzCnO1sOuYg
Till Forever Falls Apart;Ashe;Ashe, FINNEAS;12_meses;3;10;Ashlyn;0;N/A;2026-03-25 18:49:30;;4x5YzxjrF9wvIIXJV7TveC
Wondering Why;The Red Clay Strays;The Red Clay Strays;12_meses;3;11;Moment of Truth;0;country, ballad, country rock, olivia;2026-03-25 18:49:30;;1HbzxLqpNVPdiBXvpC7Ovb
I Lost a Friend;FINNEAS;FINNEAS;12_meses;3;12;Blood Harmony;0;N/A;2026-03-25 18:49:30;;3XwTKOAP8Syq2GAcKBCAmN
Apaga Apaga Apaga - Ao Vivo;Danilo e Davi;Danilo e Davi;12_meses;3;13;Toma Essa Verdade (Ao Vivo);0;N/A;2026-03-25 18:49:30;;17tg01y3RhlfRKMnd333yL
