Musica;Artista_Principal;Todos_Artistas;Periodo;Periodo_Ordem;Ranking;Album;Popularidade_Musica;Generos_Musica;Data_Extracao;Preview_URL;Spotify_ID
Mil Bocas - Ao Vivo;Thiago Carvalho;Thiago Carvalho, Natanzinho Lima;12_meses;3;14;Mil Bocas (Ao Vivo);0;N/A;2026-03-25 18:49:30;;461D8HVhHWUerNNUpOMYd4
Jealous;Labrinth;Labrinth;12_meses;3;15;Jealous - EP;0;N/A;2026-03-25 18:49:30;;4G92yYrUs0cvY7G41YRI0z
MILLION DOLLAR BABY;Tommy Richman;Tommy Richman;12_meses;3;16;MILLION DOLLAR BABY;0;loud, melodic, danceable, instrumental, r&b;2026-03-25 18:49:30;;5AJ9hqTS2wcFQCELCFRO7A
Two Toned;Myazwe;Myazwe;12_meses;3;17;Two Toned;0;N/A;2026-03-25 18:49:30;;2Q6CLAx22tlVjZzDDSe3aJ
Thought I Was Dead (feat. ScHoolboy Q & Santigold);Tyler, The Creator;Tyler, The Creator, ScHoolboy Q, Santigold;12_meses;3;18;CHROMAKOPIA;0;industrial hip hop, hardcore hip hop, jazz rap, aquacrunk;2026-03-25 18:49:30;;2aYHxnMF2umAavtgBvmkY1
Strange;Celeste;Celeste;12_meses;3;19;Not Your Muse (Deluxe);0;blues, soul, jazz;2026-03-25 18:49:30;;7sq2z9oX2S0CvgTqCZ0ko4
PIXELATED KISSES;Joji;Joji;12_meses;3;20;PIXELATED KISSES;0;alternative rnb, r&b, rage, trap;2026-03-25 18:49:30;;2OZVskV28xxJjjhQqKTLSg
NEW DROP;Don Toliver;Don Toliver;12_meses;3;21;HARDSTONE PSYCHO;0;pop, 2024, hip-hop, house, hip-house;2026-03-25 18:49:30;;2c7z5oRcPBbqRaBY2mLWcf
NOT CUTE ANYMORE;ILLIT;ILLIT;12_meses;3;22;NOT CUTE ANYMORE;0;k-pop, korean, kiki owner of this song, pop reggae;2026-03-25 18:49:30;;1k0JAiH11gHL9dc5dfQjQr
Timeless (feat. Playboi Carti);The Weeknd;The Weeknd, Playboi Carti;12_meses;3;23;Timeless;0;N/A;2026-03-25 18:49:30;;1Es7AUAhQvapIcoh3qMKDL
Sailor Song;Gigi Perez;Gigi Perez;12_meses;3;24;Sailor Song;0;rock and roll over, wsum 91.7 fm madison, my top songs;2026-03-25 18:49:30;;2262bWmqomIaJXwCRHr13j
GIRLS;The Kid LAROI;The Kid LAROI;12_meses;3;25;THE FIRST TIME (DELUXE VERSION);0;N/A;2026-03-25 18:49:30;;3Fra5SMXXDTSRXVoDf8Xwd
COMO CAPO;Clave Especial;Clave Especial, Fuerza Regida;12_meses;3;26;MIJA NO TE ASUSTES;0;N/A;2026-03-25 18:49:30;;4N1dogCaVWnGyFdPjdqNWF
Here With Me;d4vd;d4vd;12_meses;3;27;Petals to Thorns;0;loud, chill, slow, instrumental, indie;2026-03-25 18:49:30;;5LrN7yUQAzvthd4QujgPFr
Pretty Little Devil;Shaya Zamora;Shaya Zamora;12_meses;3;28;Pretty Little Devil;0;N/A;2026-03-25 18:49:30;;3fxWcOWUQxapuKin9NhCcf
Drama;aespa;aespa;12_meses;3;29;Drama - The 4th Mini Album;0;k-pop, 2023, soty;2026-03-25 18:49:30;;5XWlyfo0kZ8LF7VSyfS4Ew
jellyous;ILLIT;ILLIT;12_meses;3;30;jellyous (Feat. Sophie Powers);0;k-pop, korean, uk hardcore;2026-03-25 18:49:30;;51pREVFJeAJGvhJ1rYCKZH
$em;Doncesão;Doncesão, Cravinhos, Paulo DK;12_meses;3;31;$em anos de Perdão;0;N/A;2026-03-25 18:49:30;;0rDKhCsMHpUAKX08RHbUdq
Ho Jaa;Afsana Khan;Afsana Khan, Anmol Daniel;12_meses;3;32;Ho Jaa;0;N/A;2026-03-25 18:49:30;;3Tc2kbehPIEDoZ7fBbGGQc
Tu Chaand Hai;Akhil Sachdeva;Akhil Sachdeva, Anmol Daniel;12_meses;3;33;Tu Chaand Hai;0;N/A;2026-03-25 18:49:30;;4XKQsdsPfff5xzNpZW6gCT
CHIHIRO;Billie Eilish;Billie Eilish;12_meses;3;34;HIT ME HARD AND SOFT;0;deep house, wsum 91.7 fm madison, alt-pop, pop, rocket s adventures with dj rocket;2026-03-25 18:49:30;;7BRD7x5pt8Lqa1eGYC4dzj
This Is Who I Am - From “The Day of the Jackal”;Celeste;Celeste;12_meses;3;35;This Is Who I Am (From “The Day of the Jackal”);0;N/A;2026-03-25 18:49:30;;63ZSKE6wZag6fV3YIfJc4d
WITHOUT YOU;The Kid LAROI;The Kid LAROI;12_meses;3;36;F*CK LOVE 3+: OVER YOU;0;N/A;2026-03-25 18:49:30;;1KMkcUvF7m3SDChDOa7i5L
Riverside;Agnes Obel;Agnes Obel;12_meses;3;37;Philharmonics;0;N/A;2026-03-25 18:49:30;;7iHl6LcHD94l5VpmfrBUmG
AOK;Tai Verdes;Tai Verdes;12_meses;3;38;TV;0;N/A;2026-03-25 18:49:30;;1sx0XsWUusUoPstbvokZjP
TU TU TU;Clave Especial;Clave Especial, Edgardo Nuñez;12_meses;3;39;MIJA NO TE ASUSTES;0;N/A;2026-03-25 18:49:30;;0L5gbpFGU06vqSHacOxgka
COQUETA;Fuerza Regida;Fuerza Regida, Grupo Frontera;12_meses;3;40;MALA MÍA;0;N/A;2026-03-25 18:49:30;;1PREzVLuDT6PSE9sej4wnV
